已完成torch.nn.functional.conv1d的API条件生成, 进度1/643
已完成torch.nn.ReplicationPad1d的API条件生成, 进度525/643
已完成torch.nn.ReplicationPad2d的API条件生成, 进度526/643
已完成torch.nn.ReplicationPad3d的API条件生成, 进度527/643
已完成torch.nn.ZeroPad2d的API条件生成, 进度528/643
已完成torch.nn.ConstantPad1d的API条件生成, 进度529/643
已完成torch.nn.ConstantPad2d的API条件生成, 进度530/643
已完成torch.nn.ConstantPad3d的API条件生成, 进度531/643
已完成torch.nn.ELU的API条件生成, 进度532/643
已完成torch.nn.Hardshrink的API条件生成, 进度533/643
已完成torch.nn.Hardsigmoid的API条件生成, 进度534/643
已完成torch.nn.Hardtanh的API条件生成, 进度535/643
已完成torch.nn.Hardswish的API条件生成, 进度536/643
已完成torch.nn.LeakyReLU的API条件生成, 进度537/643
已完成torch.nn.MultiheadAttention的API条件生成, 进度538/643
已完成torch.nn.PReLU的API条件生成, 进度539/643
已完成torch.nn.ReLU的API条件生成, 进度540/643
已完成torch.nn.ReLU6的API条件生成, 进度541/643
已完成torch.nn.RReLU的API条件生成, 进度542/643
已完成torch.nn.SELU的API条件生成, 进度543/643
已完成torch.nn.CELU的API条件生成, 进度544/643
已完成torch.nn.SiLU的API条件生成, 进度545/643
已完成torch.nn.Softplus的API条件生成, 进度546/643
已完成torch.nn.Softshrink的API条件生成, 进度547/643
已完成torch.nn.Threshold的API条件生成, 进度548/643
已完成torch.nn.Softmin的API条件生成, 进度549/643
已完成torch.nn.Softmax的API条件生成, 进度550/643
已完成torch.nn.LogSoftmax的API条件生成, 进度551/643
已完成torch.nn.AdaptiveLogSoftmaxWithLoss的API条件生成, 进度552/643
已完成torch.nn.BatchNorm1d的API条件生成, 进度553/643
已完成torch.nn.BatchNorm2d的API条件生成, 进度554/643
已完成torch.nn.BatchNorm3d的API条件生成, 进度555/643
已完成torch.nn.GroupNorm的API条件生成, 进度556/643
未找到 </think> 标签
已完成torch.nn.SyncBatchNorm的API条件生成, 进度557/643
已完成torch.nn.InstanceNorm1d的API条件生成, 进度558/643
已完成torch.nn.InstanceNorm2d的API条件生成, 进度559/643
已完成torch.nn.InstanceNorm3d的API条件生成, 进度560/643
已完成torch.nn.LayerNorm的API条件生成, 进度561/643
已完成torch.nn.LocalResponseNorm的API条件生成, 进度562/643
已完成torch.nn.RNNBase的API条件生成, 进度563/643
未找到 </think> 标签
已完成torch.nn.RNN的API条件生成, 进度564/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.LSTM的API条件生成, 进度565/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.GRU的API条件生成, 进度566/643
已完成torch.nn.RNNCell的API条件生成, 进度567/643
已完成torch.nn.LSTMCell的API条件生成, 进度568/643
已完成torch.nn.GRUCell的API条件生成, 进度569/643
已完成torch.nn.Transformer的API条件生成, 进度570/643
已完成torch.nn.TransformerEncoder的API条件生成, 进度571/643
已完成torch.nn.TransformerDecoder的API条件生成, 进度572/643
已完成torch.nn.TransformerEncoderLayer的API条件生成, 进度573/643
已完成torch.nn.TransformerDecoderLayer的API条件生成, 进度574/643
已完成torch.nn.Identity的API条件生成, 进度575/643
已完成torch.nn.Linear的API条件生成, 进度576/643
已完成torch.nn.Bilinear的API条件生成, 进度577/643
已完成torch.nn.LazyLinear的API条件生成, 进度578/643
已完成torch.nn.Dropout的API条件生成, 进度579/643
已完成torch.nn.Dropout2d的API条件生成, 进度580/643
已完成torch.nn.Dropout3d的API条件生成, 进度581/643
已完成torch.nn.AlphaDropout的API条件生成, 进度582/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.Embedding的API条件生成, 进度583/643
JSON 解析错误: Expecting property name enclosed in double quotes: line 16 column 122 (char 628)
已完成torch.nn.EmbeddingBag的API条件生成, 进度584/643
已完成torch.nn.CosineSimilarity的API条件生成, 进度585/643
已完成torch.nn.PairwiseDistance的API条件生成, 进度586/643
已完成torch.nn.L1Loss的API条件生成, 进度587/643
已完成torch.nn.MSELoss的API条件生成, 进度588/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.CrossEntropyLoss的API条件生成, 进度589/643
未找到 </think> 标签
已完成torch.nn.NLLLoss的API条件生成, 进度590/643
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.CTCLoss的API条件生成, 进度591/643
已完成torch.nn.PoissonNLLLoss的API条件生成, 进度592/643
已完成torch.nn.GaussianNLLLoss的API条件生成, 进度593/643
已完成torch.nn.KLDivLoss的API条件生成, 进度594/643
已完成torch.nn.BCELoss的API条件生成, 进度595/643
未找到 </think> 标签
已完成torch.nn.BCEWithLogitsLoss的API条件生成, 进度596/643
已完成torch.nn.MarginRankingLoss的API条件生成, 进度597/643
已完成torch.nn.HingeEmbeddingLoss的API条件生成, 进度598/643
已完成torch.nn.MultiLabelMarginLoss的API条件生成, 进度599/643
已完成torch.nn.SmoothL1Loss的API条件生成, 进度600/643
已完成torch.nn.SoftMarginLoss的API条件生成, 进度601/643
已完成torch.nn.MultiLabelSoftMarginLoss的API条件生成, 进度602/643
已完成torch.nn.CosineEmbeddingLoss的API条件生成, 进度603/643
已完成torch.nn.MultiMarginLoss的API条件生成, 进度604/643
已完成torch.nn.TripletMarginLoss的API条件生成, 进度605/643
未找到 </think> 标签
已完成torch.nn.TripletMarginWithDistanceLoss的API条件生成, 进度606/643
已完成torch.nn.PixelShuffle的API条件生成, 进度607/643
已完成torch.nn.PixelUnshuffle的API条件生成, 进度608/643
未找到 </think> 标签
已完成torch.nn.Upsample的API条件生成, 进度609/643
已完成torch.nn.UpsamplingNearest2d的API条件生成, 进度610/643
已完成torch.nn.UpsamplingBilinear2d的API条件生成, 进度611/643
已完成torch.nn.ChannelShuffle的API条件生成, 进度612/643
已完成torch.nn.DataParallel的API条件生成, 进度613/643
未找到 </think> 标签
已完成torch.nn.parallel.DistributedDataParallel的API条件生成, 进度614/643
已完成torch.nn.utils.clip_grad_norm_的API条件生成, 进度615/643
已完成torch.nn.utils.clip_grad_value_的API条件生成, 进度616/643
已完成torch.nn.utils.parameters_to_vector的API条件生成, 进度617/643
已完成torch.nn.utils.vector_to_parameters的API条件生成, 进度618/643
已完成torch.nn.utils.weight_norm的API条件生成, 进度619/629
已完成torch.nn.utils.remove_weight_norm的API条件生成, 进度620/629
已完成torch.nn.utils.spectral_norm的API条件生成, 进度621/629
已完成torch.nn.utils.remove_spectral_norm的API条件生成, 进度622/629
已完成torch.nn.utils.rnn.pack_padded_sequence的API条件生成, 进度623/629
已完成torch.nn.utils.rnn.pad_packed_sequence的API条件生成, 进度624/629
已完成torch.nn.utils.rnn.pad_sequence的API条件生成, 进度625/629
已完成torch.nn.utils.rnn.pack_sequence的API条件生成, 进度626/629
已完成torch.nn.Flatten的API条件生成, 进度627/629
已完成torch.nn.Unflatten的API条件生成, 进度628/629
JSON 解析错误: Expecting value: line 1 column 1 (char 0)
已完成torch.nn.modules.lazy.LazyModuleMixin的API条件生成, 进度629/629
